iter	Passed	Remaining
309	25531	12271
310	25627	12195
311	25735	12125
312	25832	12049
313	25927	11972
314	26019	11894
315	26109	11815
316	26197	11735
317	26289	11656
318	26383	11579
319	26485	11504
320	26581	11427
321	26682	11352
322	26782	11276
323	26886	11202
324	26979	11123
325	27075	11046
326	27171	10968
327	27308	10906
328	27440	10842
329	27546	10768
330	27645	10690
331	27765	10621
332	27867	10544
333	27969	10467
334	28067	10389
335	28178	10315
336	28300	10245
337	28412	10171
338	28510	10092
339	28604	10011
340	28705	9933
341	28819	9859
342	28974	9798
343	29096	9726
344	29211	9652
345	29310	9572
346	29409	9492
347	29508	9412
348	29605	9331
349	29706	9251
350	29803	9170
351	29917	9094
352	30031	9018
353	30146	8941
354	30261	8865
355	30372	8787
356	30487	8710
357	30578	8626
358	30677	8545
359	30783	8465
360	30878	8382
361	30965	8297
362	31049	8211
363	31142	8127
364	31239	8045
365	31330	7961
366	31423	7877
367	31524	7795
368	31622	7712
369	31715	7628
370	31805	7544
371	31889	7458
372	31972	7371
373	32061	7286
374	32163	7204
375	32259	7121
376	32353	7037
377	32452	6954
378	32547	6870
379	32632	6784
380	32720	6698
381	32811	6613
382	32900	6528
383	32988	6442
384	33081	6358
385	33175	6274
386	33270	6189
387	33362	6105
388	33457	6020
389	33549	5935
390	33638	5850
391	33737	5766
392	33837	5682
393	33934	5598
394	34035	5514
395	34124	5428
396	34211	5342
397	34295	5256
398	34382	5170
399	34470	5084
400	34555	4998
401	34648	4912
402	34747	4828
403	34861	4745
404	34976	4663
405	35078	4579
406	35178	4494
407	35289	4411
408	35403	4328
409	35505	4243
410	35608	4158
411	35706	4073
412	35801	3987
413	35902	3902
414	36002	3817
415	36096	3731
416	36194	3645
417	36291	3559
418	36398	3474
419	36503	3389
420	36599	3303
421	36699	3217
422	36791	3131
423	36889	3045
424	36995	2959
425	37089	2873
426	37190	2787
427	37294	2701
428	37390	2614
429	37486	2528
430	37576	2441
431	37664	2354
432	37761	2267
433	37855	2180
434	37946	2093
435	38034	2006
436	38118	1919
437	38206	1831
438	38296	1744
439	38381	1657
440	38469	1570
441	38554	1482
442	38635	1395
443	38718	1308
444	38805	1220
445	38898	1133
446	38992	1046
447	39083	959
448	39171	872
449	39251	785
450	39330	697
451	39411	610
452	39493	523
453	39574	435
454	39656	348
455	39737	261
456	39814	174
457	39896	87
458	39977	0
